CUS_ID,TRN_ID,VENDOR_ID,M_ENTITY,O_ENTITY,PROCESSING_DATE,SERVICE_DATE,TRANSACTION_DATE,ORDER_DATE,TRANSACTION_CODE,FEE_CURRENCY,BASE_CURRENCY,TARGET_CURRENCY,EXCHANGE_RATE,BASE_REVENUE,BASE_REVENUE_LOCAL,CALCULATION_FACTOR,CALCULATED_VALUE
17,9984,B,B,3B,2025-08-04,2025-08-31,2025-08-16,2025-06-16,X,,CZK,GBP,0.03295,3794.48,125.03,2,250.06
18,9983,B,B,3B,2025-07-26,2025-01-06,2025-07-25,2025-04-15,X,,USD,GBP,0.79289,115.79,91.81,2,183.62
19,9982,B,B,3B,2025-08-15,2025-06-18,2025-07-14,2025-06-13,X,,USD,GBP,0.79289,807.58,640.32,5,3201.6
20,9981,B,B,3B,2025-04-24,2025-04-27,2025-05-09,2025-04-24,X,,USD,GBP,0.79289,470.18,372.8,2,745.6
21,9980,B,B,3B,2025-07-12,2025-04-07,2025-02-21,2025-03-28,X,,EUR,GBP,0.8276,114.66,94.89,3,284.67
22,9979,B,B,3B,2025-07-05,2025-07-07,2025-07-01,2025-06-20,X,,EUR,GBP,0.8276,107.5,88.97,2,177.94
23,9978,A,A,ZZ,2025-03-14,2025-03-21,2025-08-22,2025-04-16,X,,USD,GBP,0.79289,4.0,3.17,2,6.34
24,9977,I,I,4M,2025-01-09,2025-02-03,2025-05-28,2025-03-02,X,,GBP,EUR,1.20833,461.0,557.04,2,1114.08
25,9976,B,B,3B,2025-02-18,2025-04-06,2025-02-16,2025-02-20,X,,EUR,GBP,0.8276,97.34,80.56,2,161.12
26,9975,A,A,3B,2025-01-09,2025-04-28,2025-04-01,2025-02-21,X,,USD,GBP,0.79289,208.0,164.92,4,659.68
27,9974,B,B,7R,2025-03-05,2025-06-22,2025-06-10,2025-01-28,X,,THB,GBP,0.02305,8310.06,191.55,2,383.1
28,9973,B,B,3B,2025-07-25,2025-05-25,2025-05-02,2025-06-27,Y,USD,GBP,GBP,0.79289,128.0,101.49,3,304.47
29,9972,B,B,3B,2025-04-18,2025-03-03,2025-07-28,2025-03-20,Y,EUR,EUR,GBP,0.8276,42.0,34.76,2,69.52
30,9971,B,B,3B,2025-02-06,2025-01-06,2025-07-20,2025-03-31,X,,USD,GBP,0.79289,342.6,271.64,3,814.92
31,9970,B,B,3B,2025-03-04,2025-01-06,2025-09-22,2025-03-19,X,,USD,GBP,0.79289,249.63,197.93,2,395.86
32,9969,I,I,4M,2025-07-31,2025-03-01,2025-09-09,2025-05-29,X,,GBP,EUR,1.20833,136.59,165.05,1,165.05
33,9968,B,B,3B,2025-03-21,2025-03-16,2025-05-01,2025-02-02,X,,EUR,GBP,0.8276,168.5,139.45,2,278.9
34,9967,B,B,3B,2025-04-10,2025-07-18,2025-04-27,2025-04-05,X,,EUR,GBP,0.8276,220.5,182.49,5,912.45
35,9966,B,B,3B,2025-01-17,2025-02-19,2025-02-12,2025-06-26,X,,NOK,GBP,0.07019,2306.42,161.89,3,485.67
36,9965,B,B,3B,2025-06-12,2025-02-17,2025-08-06,2025-01-14,X,,EUR,GBP,0.8276,62.0,51.31,2,102.62
37,9964,B,B,3B,2025-07-20,2025-07-27,2025-04-12,2025-05-10,X,,EUR,GBP,0.8276,476.62,394.45,3,1183.35
38,9963,B,B,3B,2025-04-25,2025-04-12,2025-02-11,2025-02-06,X,,USD,GBP,0.79289,202.64,160.67,3,482.01
39,9962,A,A,ZZ,2025-04-06,2025-08-09,2025-07-21,2025-04-10,X,,USD,GBP,0.79289,369.0,292.58,4,1170.32
40,9961,B,B,3B,2025-04-12,2025-08-05,2025-07-23,2025-09-02,X,,TTD,GBP,0.11705,2389.08,279.64,2,559.28
41,9960,B,B,3B,2025-06-14,2025-05-01,2025-06-28,2025-08-15,X,,CNY,GBP,0.10871,10061.57,1093.79,3,3281.37
42,9959,B,B,3B,2025-09-23,2025-03-12,2025-06-09,2025-04-17,X,,EUR,GBP,0.8276,206.0,170.49,4,681.96
43,9958,B,B,3B,2025-03-06,2025-06-24,2025-03-20,2025-05-20,X,,EUR,GBP,0.8276,199.0,164.69,2,329.38
44,9957,B,B,3B,2025-08-20,2025-09-23,2025-07-06,2025-08-08,X,,BRL,GBP,0.12891,5527.01,712.49,2,1424.98
45,9956,B,B,3B,2025-08-07,2025-05-21,2025-08-14,2025-09-25,X,,EUR,GBP,0.8276,52.5,43.45,2,86.9
46,9955,B,B,3B,2025-06-23,2025-04-23,2025-01-03,2025-01-22,X,,RON,GBP,0.16619,4447.0,739.05,3,2217.15
47,9954,B,B,3B,2025-07-27,2025-09-25,2025-03-26,2025-04-30,X,,EUR,GBP,0.8276,255.71,211.63,2,423.26
48,9953,B,B,3B,2025-04-29,2025-02-08,2025-07-26,2025-09-27,X,,BRL,GBP,0.13582,210.8,28.63,2,57.26
49,9952,B,B,3B,2025-02-28,2025-05-27,2025-06-16,2025-06-16,X,,USD,GBP,0.79289,125.5,99.51,2,199.02
50,9951,B,B,3B,2025-04-12,2025-02-26,2025-01-27,2025-09-27,X,,INR,GBP,0.00933,198748.4,1854.32,4,7417.28
51,9950,B,B,3B,2025-04-19,2025-02-10,2025-09-18,2025-08-17,Y,USD,USD,GBP,0.79289,132.0,104.66,2,209.32
52,9949,B,B,3B,2025-06-30,2025-06-05,2025-02-16,2025-07-17,X,,EUR,GBP,0.8276,55.99,46.34,2,92.68
53,9948,B,B,3B,2025-03-10,2025-08-02,2025-03-06,2025-03-20,X,,EUR,GBP,0.8276,387.0,320.28,2,640.56
54,9947,A,A,ZZ,2025-01-13,2025-03-29,2025-01-17,2025-09-21,X,,USD,GBP,0.79289,138.0,109.42,2,218.84
55,9946,B,B,3B,2025-08-11,2025-07-25,2025-01-22,2025-07-19,Y,USD,USD,GBP,0.79289,130.0,103.08,2,206.16
56,9945,B,B,3B,2025-03-31,2025-04-14,2025-03-27,2025-06-23,X,,USD,GBP,0.79289,108.8,86.27,2,172.54
57,9944,B,B,ZZ,2025-02-24,2025-03-01,2025-01-06,2025-09-02,X,,USD,GBP,0.79289,294.5,233.51,2,467.02
58,9943,B,B,3B,2025-04-20,2025-05-07,2025-06-03,2025-04-25,X,,USD,GBP,0.79289,784.89,622.33,2,1244.66
59,9942,A,A,ZZ,2025-03-24,2025-04-29,2025-07-23,2025-02-24,X,,USD,GBP,0.79289,344.0,272.75,2,545.5
60,9941,B,B,ZZ,2025-05-02,2025-08-21,2025-07-02,2025-01-23,X,,INR,GBP,0.00933,50685.31,472.89,4,1891.56
61,9940,B,B,3B,2025-06-10,2025-04-15,2025-09-21,2025-09-15,X,,INR,GBP,0.00933,48695.45,454.33,2,908.66
62,9939,B,B,3B,2025-08-25,2025-07-20,2025-01-16,2025-06-18,X,,USD,GBP,0.79289,712.34,564.81,3,1694.43
63,9938,B,B,3B,2025-03-04,2025-06-19,2025-08-31,2025-06-15,X,,EUR,GBP,0.8276,53.33,44.14,2,88.28
64,9937,B,B,3B,2025-07-10,2025-04-18,2025-01-28,2025-04-13,X,,USD,GBP,0.79289,636.0,504.28,2,1008.56
65,9936,B,B,3B,2025-06-05,2025-05-15,2025-09-10,2025-09-17,X,,EUR,GBP,0.8276,66.0,54.62,2,109.24
66,9935,A,A,ZZ,2025-07-05,2025-05-21,2025-03-16,2025-02-02,X,,USD,GBP,0.79289,22.0,17.44,5,87.2
67,9934,B,B,3B,2025-05-26,2025-01-08,2025-04-07,2025-08-02,X,,USD,GBP,0.79289,736.41,583.89,2,1167.78
68,9933,B,B,3B,2025-08-05,2025-05-07,2025-08-20,2025-08-08,Y,EUR,EUR,GBP,0.8276,35.0,28.97,2,57.94
69,9932,B,B,3B,2025-03-20,2025-08-22,2025-06-04,2025-09-16,X,,USD,GBP,0.79289,2441.0,1935.44,2,3870.88
70,9931,B,B,3B,2025-03-18,2025-09-03,2025-07-16,2025-05-29,X,,USD,GBP,0.79289,541.99,429.74,2,859.48
71,9930,B,B,3B,2025-08-03,2025-04-07,2025-08-14,2025-06-19,Y,EUR,EUR,GBP,0.8276,108.0,89.38,2,178.76
72,9929,B,B,3B,2025-04-07,2025-04-26,2025-05-17,2025-02-16,Y,EUR,EUR,GBP,0.8276,50.0,41.38,2,82.76
73,9928,B,B,3B,2025-06-16,2025-09-19,2025-01-23,2025-09-16,X,,CHF,GBP,0.88543,99.86,88.42,2,176.84
74,9927,B,B,3B,2025-07-21,2025-01-11,2025-07-08,2025-01-21,X,,EUR,GBP,0.8276,670.48,554.89,4,2219.56
75,9926,A,A,ZZ,2025-04-22,2025-01-15,2025-04-02,2025-07-10,X,,USD,GBP,0.79289,213.0,168.89,2,337.78
76,9925,B,B,3B,2025-02-19,2025-06-20,2025-04-05,2025-08-11,X,,USD,GBP,0.79289,1961.09,1554.93,3,4664.79
77,9924,B,B,3B,2025-06-27,2025-03-12,2025-08-26,2025-03-15,X,,EUR,GBP,0.8276,81.42,67.38,2,134.76
78,9923,A,A,ZZ,2025-07-08,2025-04-02,2025-06-06,2025-08-17,X,,USD,GBP,0.79289,232.0,183.95,4,735.8
79,9922,B,B,3B,2025-09-17,2025-01-17,2025-08-31,2025-04-05,X,,USD,GBP,0.79289,704.91,558.92,5,2794.6
80,9921,B,B,3B,2025-03-06,2025-03-11,2025-03-05,2025-03-07,X,,EUR,GBP,0.8276,77.0,63.73,2,127.46
81,9920,B,B,3B,2025-03-08,2025-05-07,2025-03-13,2025-01-08,X,,USD,GBP,0.79289,1041.04,825.43,2,1650.86
82,9919,B,B,3B,2025-03-01,2025-03-30,2025-03-16,2025-08-20,X,,USD,GBP,0.79289,924.88,733.33,2,1466.66
83,9918,B,B,3B,2025-02-15,2025-03-18,2025-07-15,2025-01-24,X,,EUR,GBP,0.8276,281.5,232.97,2,465.94
84,9917,B,B,3B,2025-04-17,2025-07-11,2025-06-28,2025-05-07,X,,SEK,GBP,0.07201,1528.21,110.05,2,220.1
85,9916,B,B,3B,2025-08-21,2025-05-29,2025-09-01,2025-02-03,X,,EUR,GBP,0.8276,641.0,530.49,4,2121.96
86,9915,B,B,3B,2025-06-08,2025-08-05,2025-04-14,2025-05-22,X,,HUF,GBP,0.00201,15450.64,31.06,2,62.12
87,9914,B,B,3B,2025-02-03,2025-09-15,2025-08-16,2025-07-26,Y,TTD,GBP,GBP,0.11705,810.0,94.81,2,189.62
88,9913,B,B,3B,2025-01-17,2025-08-07,2025-08-13,2025-03-25,Y,USD,USD,GBP,0.79289,27.0,21.41,2,42.82
89,9912,B,B,3B,2025-05-29,2025-04-12,2025-05-22,2025-04-16,X,,EUR,GBP,0.8276,264.5,218.9,2,437.8
90,9911,B,B,3B,2025-08-20,2025-02-15,2025-08-30,2025-03-16,X,,EUR,GBP,0.8276,114.15,94.47,2,188.94
91,9910,B,B,3B,2025-07-01,2025-03-22,2025-02-25,2025-09-16,X,,GHS,GBP,0.05365,8864.73,475.59,5,2377.95
92,9909,A,A,ZZ,2025-04-02,2025-04-04,2025-09-04,2025-07-10,X,,USD,GBP,0.79289,350.0,277.51,5,1387.55
93,9908,B,B,3B,2025-02-23,2025-09-14,2025-07-21,2025-09-08,Y,EUR,EUR,GBP,0.8276,29.0,24.0,2,48.0
94,9907,B,B,3B,2025-03-01,2025-01-26,2025-01-26,2025-06-24,X,,CHF,GBP,0.88543,88.67,78.51,2,157.02
95,9906,B,B,3B,2025-01-20,2025-08-25,2025-09-06,2025-02-10,X,,EUR,GBP,0.8276,377.5,312.42,2,624.84
96,9905,B,B,3B,2025-09-26,2025-04-23,2025-03-03,2025-03-06,X,,EUR,GBP,0.8276,12.26,10.15,2,20.3
97,9904,B,B,3B,2025-08-31,2025-01-14,2025-02-03,2025-08-07,X,,USD,GBP,0.79289,9593.15,7606.31,5,38031.55
98,9903,B,B,5Y,2025-05-27,2025-03-08,2025-03-31,2025-06-04,X,,PLN,GBP,0.19407,426.33,82.74,2,165.48
99,9902,B,B,3B,2025-03-18,2025-04-20,2025-04-20,2025-05-09,X,,CAD,GBP,0.55222,815.21,450.18,2,900.36
100,9901,A,A,ZZ,2025-07-19,2025-07-09,2025-09-07,2025-05-12,X,,USD,GBP,0.79289,1494.0,1184.58,3,3553.74
101,9900,B,B,3B,2025-08-18,2025-05-17,2025-03-22,2025-02-24,X,,INR,GBP,0.00933,51292.45,478.56,3,1435.68
102,9899,B,B,3B,2025-03-17,2025-08-30,2025-07-31,2025-08-30,X,,EUR,GBP,0.8276,202.39,167.5,5,837.5
103,9898,B,B,3B,2025-03-06,2025-08-14,2025-07-13,2025-02-10,X,,USD,GBP,0.79289,676.91,536.72,2,1073.44
104,9897,B,B,3B,2025-06-16,2025-01-11,2025-04-27,2025-07-03,X,,EUR,GBP,0.8276,64.5,53.38,2,106.76
105,9896,B,B,3B,2025-05-24,2025-01-04,2025-09-09,2025-09-22,X,,CHF,GBP,0.88543,24.62,21.8,2,43.6
106,9895,B,B,3B,2025-04-19,2025-07-05,2025-03-03,2025-05-18,X,,EUR,GBP,0.8276,244.06,201.98,2,403.96
107,9894,B,B,3B,2025-08-07,2025-05-01,2025-08-10,2025-04-08,X,,EUR,GBP,0.8276,17.19,14.23,2,28.46
108,9893,I,B,4M,2025-08-21,2025-07-19,2025-02-12,2025-04-05,Y,USD,EUR,GBP,0.79289,33.02,26.18,2,52.36
109,9892,A,A,ZZ,2025-08-01,2025-03-13,2025-08-23,2025-03-20,X,,USD,GBP,0.79289,154.0,122.11,5,610.55
110,9891,B,B,3B,2025-01-30,2025-03-07,2025-01-04,2025-02-08,X,,EUR,GBP,0.8276,45.15,37.37,2,74.74
111,9890,I,I,4M,2025-06-08,2025-05-25,2025-03-31,2025-06-18,X,,GBP,EUR,1.20833,166.02,200.61,2,401.22
112,9889,B,B,3B,2025-07-15,2025-01-20,2025-06-07,2025-07-11,X,,SAR,GBP,0.21144,1347.56,284.93,2,569.86
113,9888,B,B,3B,2025-04-23,2025-04-18,2025-05-03,2025-03-16,X,,USD,GBP,0.79289,2127.48,1686.86,3,5060.58
114,9887,A,A,ZZ,2025-06-27,2025-07-29,2025-04-08,2025-07-07,X,,USD,GBP,0.79289,92.0,72.95,2,145.9
115,9886,B,B,3B,2025-03-11,2025-01-30,2025-07-27,2025-07-21,X,,USD,GBP,0.79289,7231.0,5733.39,2,11466.78
116,9885,B,B,3B,2025-05-08,2025-05-03,2025-05-13,2025-01-28,Y,EUR,EUR,GBP,0.8276,101.0,83.59,2,167.18
117,9884,B,B,3B,2025-02-17,2025-08-26,2025-03-16,2025-06-11,X,,USD,GBP,0.79289,335.34,265.89,4,1063.56
118,9883,A,A,PP,2025-05-12,2025-03-30,2025-09-21,2025-01-23,X,,USD,GBP,0.79289,261.0,206.94,5,1034.7
119,9882,B,B,3B,2025-01-05,2025-01-17,2025-04-01,2025-05-18,X,,EUR,GBP,0.8276,28.0,23.17,2,46.34
120,9881,B,B,3B,2025-07-26,2025-06-12,2025-05-11,2025-04-21,X,,USD,GBP,0.79289,910.26,721.74,3,2165.22
121,9880,A,A,ZZ,2025-03-12,2025-08-25,2025-03-10,2025-05-02,X,,USD,GBP,0.79289,368.0,291.78,3,875.34
122,9879,B,B,3B,2025-04-13,2025-07-29,2025-06-01,2025-03-22,X,,DKK,GBP,0.11094,2459.2,272.82,2,545.64
123,9878,B,B,3B,2025-05-28,2025-03-12,2025-09-07,2025-06-17,Y,USD,USD,GBP,0.79289,116.0,91.98,3,275.94
124,9877,B,B,3B,2025-09-24,2025-08-26,2025-02-26,2025-07-19,X,,DKK,GBP,0.11094,6364.11,706.03,5,3530.15
125,9876,A,A,ZZ,2025-03-07,2025-03-06,2025-09-25,2025-01-05,X,,USD,GBP,0.79289,162.0,128.45,2,256.9
126,9875,B,B,3B,2025-06-25,2025-08-05,2025-05-29,2025-09-03,X,,KWD,GBP,2.56918,140.14,360.04,2,720.08
127,9874,A,A,3B,2025-08-06,2025-07-14,2025-08-02,2025-08-08,X,,USD,GBP,0.79289,2735.0,2168.55,5,10842.75
128,9873,B,B,4M,2025-03-11,2025-03-02,2025-07-13,2025-01-31,X,,EUR,GBP,0.8276,133.0,110.07,2,220.14
129,9872,B,B,3B,2025-08-24,2025-07-16,2025-07-20,2025-08-02,X,,USD,GBP,0.79289,636.16,504.4,3,1513.2
130,9871,B,B,3B,2025-03-06,2025-05-03,2025-07-04,2025-08-20,X,,EUR,GBP,0.8276,315.32,260.96,5,1304.8
131,9870,B,B,3B,2025-06-09,2025-06-13,2025-03-29,2025-01-06,X,,SEK,GBP,0.07201,34685.5,2497.7,5,12488.5
132,9869,B,B,3B,2025-09-06,2025-01-31,2025-04-12,2025-04-29,X,,USD,GBP,0.79289,1377.71,1092.37,2,2184.74
133,9868,B,B,3B,2025-01-17,2025-09-10,2025-01-07,2025-01-22,X,,EUR,GBP,0.8276,579.72,479.78,2,959.56
134,9867,B,B,3B,2025-01-07,2025-08-26,2025-04-29,2025-03-12,X,,EUR,GBP,0.8276,160.37,132.72,2,265.44
135,9866,B,B,3B,2025-08-27,2025-02-18,2025-02-23,2025-01-27,X,,EUR,GBP,0.8276,55.0,45.52,2,91.04
136,9865,B,B,3B,2025-02-25,2025-04-18,2025-03-02,2025-07-20,X,,PLN,GBP,0.19407,1153.54,223.87,4,895.48
137,9864,A,A,ZZ,2025-01-28,2025-07-17,2025-08-16,2025-04-29,X,,USD,GBP,0.79289,246.0,195.05,2,390.1
138,9863,B,B,3B,2025-04-05,2025-07-19,2025-02-24,2025-05-21,X,,EUR,GBP,0.8276,45.1,37.32,2,74.64
139,9862,B,B,3B,2025-04-10,2025-09-14,2025-08-13,2025-05-01,Y,EUR,EUR,GBP,0.8276,50.0,41.38,2,82.76
140,9861,B,B,3B,2025-04-01,2025-02-14,2025-01-09,2025-06-28,X,,EUR,GBP,0.8276,38.5,31.86,2,63.72
141,9860,B,B,3B,2025-08-05,2025-03-28,2025-04-13,2025-02-18,X,,EUR,GBP,0.8276,586.2,485.14,2,970.28
142,9859,B,B,3B,2025-08-03,2025-05-08,2025-09-15,2025-01-05,Y,USD,USD,GBP,0.79289,118.0,93.56,3,280.68
143,9858,B,B,3B,2025-01-29,2025-01-09,2025-03-17,2025-06-05,X,,DKK,GBP,0.11094,201.0,22.3,2,44.6
144,9857,B,B,3B,2025-09-18,2025-08-30,2025-01-18,2025-08-16,X,,USD,GBP,0.79289,2321.0,1840.3,2,3680.6
145,9856,B,B,3B,2025-06-22,2025-08-20,2025-03-06,2025-06-19,X,,EUR,GBP,0.8276,159.26,131.8,3,395.4
146,9855,B,B,3B,2025-03-29,2025-09-24,2025-02-03,2025-06-10,Y,USD,USD,GBP,0.79289,133.0,105.45,2,210.9
147,9854,B,B,3B,2025-07-12,2025-08-21,2025-09-14,2025-05-24,X,,USD,GBP,0.79289,318.75,252.73,2,505.46
148,9853,A,A,ZZ,2025-02-20,2025-03-13,2025-06-10,2025-09-15,X,,USD,GBP,0.79289,1.0,0.79,2,1.58
149,9852,I,I,4M,2025-03-07,2025-07-09,2025-02-22,2025-08-07,X,,MXN,EUR,0.04738,20160.75,955.22,3,2865.66
150,9851,B,B,3B,2025-05-06,2025-03-07,2025-06-22,2025-05-15,X,,DKK,GBP,0.11094,1226.82,136.1,2,272.2
151,9850,B,B,3B,2025-06-16,2025-03-28,2025-06-11,2025-02-21,X,,MXN,GBP,0.03921,44299.9,1737.0,2,3474.0
152,9849,B,B,3B,2025-02-14,2025-09-03,2025-01-14,2025-03-29,Y,USD,USD,GBP,0.79289,158.0,125.28,2,250.56
153,9848,A,A,ZZ,2025-09-21,2025-01-24,2025-02-15,2025-08-06,X,,USD,GBP,0.79289,235.0,186.33,4,745.32
154,9847,B,B,3B,2025-09-03,2025-05-07,2025-05-03,2025-08-14,Y,USD,USD,GBP,0.79289,101.0,80.08,3,240.24
155,9846,B,B,3B,2025-06-13,2025-06-22,2025-08-01,2025-07-12,X,,EUR,GBP,0.8276,401.0,331.87,2,663.74
156,9845,B,B,3B,2025-08-06,2025-07-01,2025-07-19,2025-05-26,X,,USD,GBP,0.79289,460.02,364.75,2,729.5
157,9844,B,B,3B,2025-04-07,2025-02-18,2025-08-20,2025-09-05,X,,ZAR,GBP,0.04344,2086.28,90.63,2,181.26
158,9843,B,B,3B,2025-01-08,2025-08-15,2025-07-04,2025-08-25,X,,EUR,GBP,0.8276,165.0,136.55,2,273.1
159,9842,A,A,ZZ,2025-02-11,2025-07-19,2025-06-10,2025-01-25,X,,USD,GBP,0.79289,323.0,256.1,3,768.3
160,9841,B,B,3B,2025-01-08,2025-04-01,2025-06-16,2025-06-13,X,,EUR,GBP,0.8276,256.52,212.3,4,849.2
161,9840,B,B,3B,2025-08-05,2025-09-27,2025-09-16,2025-07-10,Y,USD,USD,GBP,0.79289,30.05,23.83,2,47.66
162,9839,B,B,3B,2025-03-26,2025-09-21,2025-06-13,2025-06-24,X,,EUR,GBP,0.8276,255.0,211.04,5,1055.2
163,9838,A,A,ZZ,2025-03-12,2025-04-07,2025-06-24,2025-01-03,X,,USD,GBP,0.79289,397.0,314.78,4,1259.12
164,9837,B,B,3B,2025-01-22,2025-05-01,2025-04-02,2025-06-06,X,,EUR,GBP,0.8276,27.37,22.65,2,45.3
165,9836,B,B,3B,2025-04-05,2025-09-07,2025-05-22,2025-07-01,X,,EUR,GBP,0.8276,69.0,57.1,2,114.2
166,9835,B,B,3B,2025-07-04,2025-09-05,2025-07-24,2025-05-02,X,,EUR,GBP,0.8276,87.0,72.0,2,144.0
167,9834,B,B,3B,2025-09-07,2025-01-25,2025-08-31,2025-01-30,X,,EUR,GBP,0.8276,37.98,31.43,2,62.86
168,9833,B,B,3B,2025-01-16,2025-06-30,2025-07-06,2025-08-30,X,,USD,GBP,0.79289,221.5,175.63,2,351.26
169,9832,B,B,3B,2025-01-12,2025-01-19,2025-01-08,2025-06-05,X,,USD,GBP,0.79289,148.84,118.01,2,236.02
170,9831,B,B,3B,2025-01-15,2025-08-07,2025-09-16,2025-06-22,X,,EUR,GBP,0.8276,123.5,102.21,2,204.42
171,9830,B,B,ZZ,2025-02-04,2025-07-26,2025-04-29,2025-06-29,X,,INR,GBP,0.00933,74706.5,697.01,4,2788.04
172,9829,B,B,GK,2025-01-05,2025-05-12,2025-01-01,2025-04-18,X,,EUR,GBP,0.8276,239.46,198.18,4,792.72
173,9828,B,B,3B,2025-09-19,2025-03-19,2025-07-05,2025-07-17,Y,EUR,USD,GBP,0.8276,20.1,16.63,2,33.26
174,9827,B,B,3B,2025-03-11,2025-06-27,2025-02-24,2025-02-28,X,,CHF,GBP,0.88543,66.51,58.89,2,117.78
175,9826,B,B,3B,2025-04-16,2025-01-16,2025-03-01,2025-02-01,X,,USD,GBP,0.79289,836.67,663.39,3,1990.17
176,9825,B,B,3B,2025-04-10,2025-02-05,2025-04-28,2025-08-15,X,,EUR,GBP,0.8276,576.0,476.7,2,953.4
177,9824,A,A,3B,2025-01-25,2025-08-11,2025-02-05,2025-07-25,X,,USD,GBP,0.79289,1688.0,1338.4,3,4015.2
178,9823,B,B,3B,2025-03-23,2025-06-28,2025-07-14,2025-03-07,X,,USD,GBP,0.79289,382.33,303.15,2,606.3
179,9822,B,B,3B,2025-01-01,2025-04-07,2025-05-04,2025-03-12,X,,PLN,GBP,0.19407,751.93,145.93,2,291.86
180,9821,A,A,ZZ,2025-02-26,2025-02-20,2025-06-24,2025-08-23,X,,USD,GBP,0.79289,6082.0,4822.36,5,24111.8
181,9820,B,B,3B,2025-04-17,2025-09-04,2025-03-13,2025-08-12,X,,EUR,GBP,0.8276,359.0,297.11,3,891.33
182,9819,B,B,3B,2025-04-03,2025-06-04,2025-09-17,2025-05-16,X,,USD,GBP,0.79289,505.97,401.18,2,802.36
183,9818,B,B,3B,2025-01-26,2025-07-23,2025-08-25,2025-03-21,X,,EUR,GBP,0.8276,137.5,113.8,2,227.6
184,9817,B,B,3B,2025-07-19,2025-08-07,2025-02-07,2025-09-17,Y,USD,USD,GBP,0.79289,144.0,114.18,2,228.36
185,9816,B,B,3B,2025-05-10,2025-06-23,2025-07-09,2025-08-27,X,,USD,GBP,0.79289,2304.09,1826.89,3,5480.67
186,9815,B,B,3B,2025-02-15,2025-09-20,2025-05-04,2025-02-12,X,,USD,GBP,0.79289,371.49,294.55,2,589.1
187,9814,B,B,3B,2025-03-22,2025-04-01,2025-03-25,2025-08-31,X,,INR,GBP,0.00933,5755.51,53.7,4,214.8
188,9813,A,A,3B,2025-06-30,2025-09-19,2025-02-08,2025-01-27,X,,USD,GBP,0.79289,829.0,657.31,4,2629.24
189,9812,B,B,ZZ,2025-04-06,2025-08-24,2025-01-30,2025-05-09,X,,EUR,GBP,0.8276,24.88,20.59,3,61.77
190,9811,B,B,3B,2025-02-28,2025-07-31,2025-09-27,2025-05-30,Y,EUR,EUR,GBP,0.8276,80.0,66.21,2,132.42
191,9810,A,A,ZZ,2025-06-13,2025-01-28,2025-07-18,2025-09-24,X,,USD,GBP,0.79289,154.0,122.11,3,366.33
192,9809,I,I,4U,2025-08-29,2025-04-29,2025-02-18,2025-08-19,X,,USD,EUR,0.95807,320.08,306.66,1,306.66
