Currency from,Currency to,Conversion unit,Rate,Effective date  
[GTQ] GTQ,[GBP] GBP,1,0.09676,01/08/2025
[GTQ] GTQ,[USD] USD,1,0.13056,01/08/2025
[GTQ] GTQ,[EUR] EUR,1,0.11189,01/08/2025
[GIP] GIP,[GBP] GBP,1,1,01/08/2025
[GIP] GIP,[USD] USD,1,1.34935,01/08/2025
[GIP] GIP,[EUR] EUR,1,1.15647,01/08/2025
[GHS] GHS,[GBP] GBP,1,0.06737,01/08/2025
[GHS] GHS,[USD] USD,1,0.09091,01/08/2025
[GHS] GHS,[EUR] EUR,1,0.07791,01/08/2025
[GEL] GEL,[GBP] GBP,1,0.26965,01/08/2025
[GEL] GEL,[USD] USD,1,0.36385,01/08/2025
[GEL] GEL,[EUR] EUR,1,0.31184,01/08/2025
[FJD] FJD,[GBP] GBP,1,0.32542,01/08/2025
[FJD] FJD,[USD] USD,1,0.4391,01/08/2025
[FJD] FJD,[EUR] EUR,1,0.37634,01/08/2025
[EUR] EUR,[GBP] GBP,1,0.86471,01/08/2025
[EUR] EUR,[USD] USD,1,1.16678,01/08/2025
[ETB] ETB,[GBP] GBP,1,0.00531,01/08/2025
[ETB] ETB,[USD] USD,1,0.00717,01/08/2025
[ETB] ETB,[EUR] EUR,1,0.00614,01/08/2025
[EGP] EGP,[GBP] GBP,1,0.01528,01/08/2025
[EGP] EGP,[USD] USD,1,0.02061,01/08/2025
[EGP] EGP,[EUR] EUR,1,0.01767,01/08/2025
[DZD] DZD,[GBP] GBP,1,0.00568,01/08/2025
[DZD] DZD,[USD] USD,1,0.00766,01/08/2025
[DZD] DZD,[EUR] EUR,1,0.00657,01/08/2025
[DOP] DOP,[GBP] GBP,1,0.0121,01/08/2025
[DOP] DOP,[USD] USD,1,0.01632,01/08/2025
[DOP] DOP,[EUR] EUR,1,0.01399,01/08/2025
[DKK] DKK,[GBP] GBP,1,0.11584,01/08/2025
[DKK] DKK,[USD] USD,1,0.15631,01/08/2025
[DKK] DKK,[EUR] EUR,1,0.13397,01/08/2025
[DJF] DJF,[GBP] GBP,1,0.00417,01/08/2025
[DJF] DJF,[USD] USD,1,0.00563,01/08/2025
[DJF] DJF,[EUR] EUR,1,0.00482,01/08/2025
[CZK] CZK,[GBP] GBP,1,0.03529,01/08/2025
[CZK] CZK,[USD] USD,1,0.04762,01/08/2025
[CZK] CZK,[EUR] EUR,1,0.04081,01/08/2025
[CRC] CRC,[GBP] GBP,1,0.00146,01/08/2025
[CRC] CRC,[USD] USD,1,0.00198,01/08/2025
[CRC] CRC,[EUR] EUR,1,0.00169,01/08/2025
[COP] COP,[GBP] GBP,1,0.00018,01/08/2025
[COP] COP,[USD] USD,1,0.00025,01/08/2025
[COP] COP,[EUR] EUR,1,0.00021,01/08/2025
[CNY] CNY,[GBP] GBP,1,0.10324,01/08/2025
[CNY] CNY,[USD] USD,1,0.1393,01/08/2025
[CNY] CNY,[EUR] EUR,1,0.11939,01/08/2025
[CLP] CLP,[GBP] GBP,1,0.00077,01/08/2025
[CLP] CLP,[USD] USD,1,0.00104,01/08/2025
[CLP] CLP,[EUR] EUR,1,0.00089,01/08/2025
[CHF] CHF,[GBP] GBP,1,0.91975,01/08/2025
[CHF] CHF,[USD] USD,1,1.24106,01/08/2025
[CHF] CHF,[EUR] EUR,1,1.06366,01/08/2025
[CAD] CAD,[GBP] GBP,1,0.53521,01/08/2025
[CAD] CAD,[USD] USD,1,0.72219,01/08/2025
[CAD] CAD,[EUR] EUR,1,0.61896,01/08/2025
[BZD] BZD,[GBP] GBP,1,0.37055,01/08/2025
[BZD] BZD,[USD] USD,1,0.5,01/08/2025
[BZD] BZD,[EUR] EUR,1,0.42853,01/08/2025
[BWP] BWP,[GBP] GBP,1,0.05446,01/08/2025
[BWP] BWP,[USD] USD,1,0.07348,01/08/2025
[BWP] BWP,[EUR] EUR,1,0.06298,01/08/2025
[BSD] BSD,[GBP] GBP,1,0.7411,01/08/2025
[BSD] BSD,[USD] USD,1,1,01/08/2025
[BSD] BSD,[EUR] EUR,1,0.85706,01/08/2025
[BRL] BRL,[GBP] GBP,1,0.13582,01/08/2025
[BRL] BRL,[USD] USD,1,0.18327,01/08/2025
[BRL] BRL,[EUR] EUR,1,0.15708,01/08/2025
[BND] BND,[GBP] GBP,1,0.57698,01/08/2025
[BND] BND,[USD] USD,1,0.77854,01/08/2025
[BND] BND,[EUR] EUR,1,0.66726,01/08/2025
[BMD] BMD,[GBP] GBP,1,0.7411,01/08/2025
[BMD] BMD,[USD] USD,1,1,01/08/2025
[BMD] BMD,[EUR] EUR,1,0.85706,01/08/2025
[BIF] BIF,[GBP] GBP,1,0.00025,01/08/2025
[BIF] BIF,[USD] USD,1,0.00034,01/08/2025
[BIF] BIF,[EUR] EUR,1,0.00029,01/08/2025
[BHD] BHD,[GBP] GBP,1,1.97052,01/08/2025
[BHD] BHD,[USD] USD,1,2.65887,01/08/2025
[BHD] BHD,[EUR] EUR,1,2.27884,01/08/2025
[BGN] BGN,[GBP] GBP,1,0.44212,01/08/2025
[BGN] BGN,[USD] USD,1,0.59657,01/08/2025
[BGN] BGN,[EUR] EUR,1,0.51129,01/08/2025
[BDT] BDT,[GBP] GBP,1,0.00605,01/08/2025
[BDT] BDT,[USD] USD,1,0.00816,01/08/2025
[BDT] BDT,[EUR] EUR,1,0.007,01/08/2025
[BBD] BBD,[GBP] GBP,1,0.37055,01/08/2025
[BBD] BBD,[USD] USD,1,0.5,01/08/2025
[BBD] BBD,[EUR] EUR,1,0.42853,01/08/2025
[BAM] BAM,[GBP] GBP,1,0.44212,01/08/2025
[BAM] BAM,[USD] USD,1,0.59657,01/08/2025
[BAM] BAM,[EUR] EUR,1,0.51129,01/08/2025
[AZN] AZN,[GBP] GBP,1,0.43594,01/08/2025
[AZN] AZN,[USD] USD,1,0.58824,01/08/2025
[AZN] AZN,[EUR] EUR,1,0.50415,01/08/2025
[AWG] AWG,[GBP] GBP,1,0.41172,01/08/2025
[AWG] AWG,[USD] USD,1,0.55556,01/08/2025
[AWG] AWG,[EUR] EUR,1,0.47614,01/08/2025
[AUD] AUD,[GBP] GBP,1,0.47912,01/08/2025
[AUD] AUD,[USD] USD,1,0.64649,01/08/2025
[AUD] AUD,[EUR] EUR,1,0.55408,01/08/2025
[ARS] ARS,[GBP] GBP,1,0.00056,01/08/2025
[ARS] ARS,[USD] USD,1,0.00076,01/08/2025
[ARS] ARS,[EUR] EUR,1,0.00065,01/08/2025
[AOA] AOA,[GBP] GBP,1,0.00078,01/08/2025
[AOA] AOA,[USD] USD,1,0.00106,01/08/2025
[AOA] AOA,[EUR] EUR,1,0.00091,01/08/2025
[ANG] ANG,[GBP] GBP,1,0.41402,01/08/2025
[ANG] ANG,[USD] USD,1,0.55866,01/08/2025
[ANG] ANG,[EUR] EUR,1,0.4788,01/08/2025
[AMD] AMD,[GBP] GBP,1,0.00194,01/08/2025
[AMD] AMD,[USD] USD,1,0.00261,01/08/2025
[AMD] AMD,[EUR] EUR,1,0.00224,01/08/2025
[AED] AED,[GBP] GBP,1,0.20176,01/08/2025
[AED] AED,[USD] USD,1,0.27224,01/08/2025
[AED] AED,[EUR] EUR,1,0.23332,01/08/2025
[USD] USD,[GBP] GBP,1,0.7411,01/08/2025
[USD] USD,[EUR] EUR,1,0.85706,01/08/2025
[GBP] GBP,[USD] USD,1,1.34935,01/08/2025
[GBP] GBP,[EUR] EUR,1,1.15647,01/08/2025
[EUR] EUR,[GBP] GBP,1,0.86731,01/07/2025
[EUR] EUR,[USD] USD,1,1.17003,01/07/2025
[ZMW] ZMW,[GBP] GBP,1,0.03203,01/07/2025
[ZMW] ZMW,[USD] USD,1,0.04321,01/07/2025
[ZMW] ZMW,[EUR] EUR,1,0.03693,01/07/2025
[ZAR] ZAR,[GBP] GBP,1,0.04203,01/07/2025
[ZAR] ZAR,[USD] USD,1,0.0567,01/07/2025
[ZAR] ZAR,[EUR] EUR,1,0.04846,01/07/2025
[XPF] XPF,[GBP] GBP,1,0.00727,01/07/2025
[XPF] XPF,[USD] USD,1,0.0098,01/07/2025
[XPF] XPF,[EUR] EUR,1,0.00838,01/07/2025
[XOF] XOF,[GBP] GBP,1,0.00132,01/07/2025
[XOF] XOF,[USD] USD,1,0.00178,01/07/2025
[XOF] XOF,[EUR] EUR,1,0.00152,01/07/2025
[XCD] XCD,[GBP] GBP,1,0.27454,01/07/2025
[XCD] XCD,[USD] USD,1,0.37037,01/07/2025
[XCD] XCD,[EUR] EUR,1,0.31654,01/07/2025
[XAF] XAF,[GBP] GBP,1,0.00132,01/07/2025
[XAF] XAF,[USD] USD,1,0.00178,01/07/2025
[XAF] XAF,[EUR] EUR,1,0.00152,01/07/2025
[VUV] VUV,[GBP] GBP,1,0.00628,01/07/2025
[VUV] VUV,[USD] USD,1,0.00847,01/07/2025
[VUV] VUV,[EUR] EUR,1,0.00724,01/07/2025
[VND] VND,[GBP] GBP,1,0.00003,01/07/2025
[VND] VND,[USD] USD,1,0.00004,01/07/2025
[VND] VND,[EUR] EUR,1,0.00003,01/07/2025
[USD] USD,[GBP] GBP,1,0.74127,01/07/2025
[USD] USD,[EUR] EUR,1,0.85467,01/07/2025
[UAH] UAH,[GBP] GBP,1,0.01774,01/07/2025
[UAH] UAH,[USD] USD,1,0.02393,01/07/2025
[UAH] UAH,[EUR] EUR,1,0.02045,01/07/2025
[TWD] TWD,[GBP] GBP,1,0.02522,01/07/2025
[TWD] TWD,[USD] USD,1,0.03403,01/07/2025
[TWD] TWD,[EUR] EUR,1,0.02908,01/07/2025
[TTD] TTD,[GBP] GBP,1,0.10928,01/07/2025
[TTD] TTD,[USD] USD,1,0.14743,01/07/2025
[TTD] TTD,[EUR] EUR,1,0.126,01/07/2025
[TRY] TRY,[GBP] GBP,1,0.01835,01/07/2025
[TRY] TRY,[USD] USD,1,0.02475,01/07/2025
[TRY] TRY,[EUR] EUR,1,0.02116,01/07/2025
[TOP] TOP,[GBP] GBP,1,0.3075,01/07/2025
[TOP] TOP,[USD] USD,1,0.41483,01/07/2025
[TOP] TOP,[EUR] EUR,1,0.35454,01/07/2025
[TND] TND,[GBP] GBP,1,0.25548,01/07/2025
[TND] TND,[USD] USD,1,0.34465,01/07/2025
[TND] TND,[EUR] EUR,1,0.29457,01/07/2025
[THB] THB,[GBP] GBP,1,0.02274,01/07/2025
[THB] THB,[USD] USD,1,0.03067,01/07/2025
[THB] THB,[EUR] EUR,1,0.02621,01/07/2025
[SZL] SZL,[GBP] GBP,1,0.04203,01/07/2025
[SZL] SZL,[USD] USD,1,0.0567,01/07/2025
[SZL] SZL,[EUR] EUR,1,0.04846,01/07/2025
[SGD] SGD,[GBP] GBP,1,0.57882,01/07/2025
[SGD] SGD,[USD] USD,1,0.78085,01/07/2025
[SGD] SGD,[EUR] EUR,1,0.66737,01/07/2025
[SEK] SEK,[GBP] GBP,1,0.07739,01/07/2025
[SEK] SEK,[USD] USD,1,0.1044,01/07/2025
[SEK] SEK,[EUR] EUR,1,0.08923,01/07/2025
[SDG] SDG,[GBP] GBP,1,0.00034,01/07/2025
[SDG] SDG,[USD] USD,1,0.00046,01/07/2025
[SDG] SDG,[EUR] EUR,1,0.0004,01/07/2025
[SCR] SCR,[GBP] GBP,1,0.04959,01/07/2025
[SCR] SCR,[USD] USD,1,0.0669,01/07/2025
[SCR] SCR,[EUR] EUR,1,0.05717,01/07/2025
[SAR] SAR,[GBP] GBP,1,0.19767,01/07/2025
[SAR] SAR,[USD] USD,1,0.26667,01/07/2025
[SAR] SAR,[EUR] EUR,1,0.22791,01/07/2025
[RWF] RWF,[GBP] GBP,1,0.00051,01/07/2025
[RWF] RWF,[USD] USD,1,0.00069,01/07/2025
[RWF] RWF,[EUR] EUR,1,0.00059,01/07/2025
[RUB] RUB,[GBP] GBP,1,0.00943,01/07/2025
[RUB] RUB,[USD] USD,1,0.01272,01/07/2025
[RUB] RUB,[EUR] EUR,1,0.01087,01/07/2025
[RSD] RSD,[GBP] GBP,1,0.00739,01/07/2025
[RSD] RSD,[USD] USD,1,0.00997,01/07/2025
[RSD] RSD,[EUR] EUR,1,0.00852,01/07/2025
[RON] RON,[GBP] GBP,1,0.17087,01/07/2025
[RON] RON,[USD] USD,1,0.23051,01/07/2025
[RON] RON,[EUR] EUR,1,0.19702,01/07/2025
[QAR] QAR,[GBP] GBP,1,0.20364,01/07/2025
[QAR] QAR,[USD] USD,1,0.27473,01/07/2025
[QAR] QAR,[EUR] EUR,1,0.2348,01/07/2025
[PYG] PYG,[GBP] GBP,1,0.0001,01/07/2025
[PYG] PYG,[USD] USD,1,0.00013,01/07/2025
[PYG] PYG,[EUR] EUR,1,0.00011,01/07/2025
[PLN] PLN,[GBP] GBP,1,0.20406,01/07/2025
[PLN] PLN,[USD] USD,1,0.27528,01/07/2025
[PLN] PLN,[EUR] EUR,1,0.23527,01/07/2025
[PKR] PKR,[GBP] GBP,1,0.0026,01/07/2025
[PKR] PKR,[USD] USD,1,0.0035,01/07/2025
[PKR] PKR,[EUR] EUR,1,0.003,01/07/2025
[PHP] PHP,[GBP] GBP,1,0.01301,01/07/2025
[PHP] PHP,[USD] USD,1,0.01755,01/07/2025
[PHP] PHP,[EUR] EUR,1,0.015,01/07/2025
[PGK] PGK,[GBP] GBP,1,0.17536,01/07/2025
[PGK] PGK,[USD] USD,1,0.23657,01/07/2025
[PGK] PGK,[EUR] EUR,1,0.20218,01/07/2025
[OMR] OMR,[GBP] GBP,1,1.9279,01/07/2025
[OMR] OMR,[USD] USD,1,2.60078,01/07/2025
[OMR] OMR,[EUR] EUR,1,2.22281,01/07/2025
[NZD] NZD,[GBP] GBP,1,0.44425,01/07/2025
[NZD] NZD,[USD] USD,1,0.5993,01/07/2025
[NZD] NZD,[EUR] EUR,1,0.51221,01/07/2025
[NPR] NPR,[GBP] GBP,1,0.00537,01/07/2025
[NPR] NPR,[USD] USD,1,0.00724,01/07/2025
[NPR] NPR,[EUR] EUR,1,0.00619,01/07/2025
[NOK] NOK,[GBP] GBP,1,0.0731,01/07/2025
[NOK] NOK,[USD] USD,1,0.09861,01/07/2025
[NOK] NOK,[EUR] EUR,1,0.08428,01/07/2025
[NGN] NGN,[GBP] GBP,1,0.00048,01/07/2025
[NGN] NGN,[USD] USD,1,0.00065,01/07/2025
[NGN] NGN,[EUR] EUR,1,0.00056,01/07/2025
[NAD] NAD,[GBP] GBP,1,0.04203,01/07/2025
[NAD] NAD,[USD] USD,1,0.0567,01/07/2025
[NAD] NAD,[EUR] EUR,1,0.04846,01/07/2025
[MZN] MZN,[GBP] GBP,1,0.01149,01/07/2025
[MZN] MZN,[USD] USD,1,0.0155,01/07/2025
[MZN] MZN,[EUR] EUR,1,0.01325,01/07/2025
[MYR] MYR,[GBP] GBP,1,0.17506,01/07/2025
[MYR] MYR,[USD] USD,1,0.23616,01/07/2025
[MYR] MYR,[EUR] EUR,1,0.20184,01/07/2025
[MXN] MXN,[GBP] GBP,1,0.0398,01/07/2025
[MXN] MXN,[USD] USD,1,0.0537,01/07/2025
[MXN] MXN,[EUR] EUR,1,0.04589,01/07/2025
[MWK] MWK,[GBP] GBP,1,0.00042,01/07/2025
